time_s,theta_x_rad,theta_y_rad,theta_z_rad,omega_x_rad_s,omega_y_rad_s,omega_z_rad_s,torque_cmd_x_Nm,torque_cmd_y_Nm,torque_cmd_z_Nm,torque_applied_x_Nm,torque_applied_y_Nm,torque_applied_z_Nm,pointing_error_rad,torque_limited_sample,saturation_events_so_far,health_state
85.0,-0.00011575361634008986,-9.859751146081496e-05,-3.436466594508256e-05,-1.1815122900125315e-05,4.252374549990142e-05,-1.2791159499964899e-05,0.0014989159,-0.0002687976,-0.0004863151,0.0014989159,-0.0002687976,-0.0004863151,0.00015588873989994074,0,2,OK
85.10000000000001,-0.0001168151786511024,-9.400634353665814e-05,-3.603043551757905e-05,-1.2574794900125313e-05,4.781529716656809e-05,-2.26564517499649e-05,0.0010759841,0.0013793454,0.0004068851,0.0010759841,0.0013793454,0.0004068851,0.00015421144857632194,0,2,OK
85.2,-0.00011812284175011494,-8.902274358416801e-05,-3.795607450382554e-05,-1.2540338900125313e-05,4.829597766656807e-05,-2.0955423999964907e-05,0.0011899451,0.0003748382,-0.0015726433,0.0011899451,0.0003748382,-0.0015726433,0.00015270467645136208,0,2,OK
85.3,-0.00011949926093412747,-8.399724556917787e-05,-4.022720254257203e-05,-1.3367085200125315e-05,5.40138032499014e-05,-2.298517537496491e-05,0.0013969786,4.25191e-05,0.0004611512,0.0013969786,4.25191e-05,0.0004611512,0.00015150524232320335,0,2,OK
85.4,-0.00012067350483314,-7.909079407668771e-05,-4.271423236256852e-05,-9.498043400125319e-06,4.437258974990139e-05,-2.430271337496491e-05,0.0007852994,-0.0011570129,0.0023967116,0.0007852994,-0.0011570129,0.0023967116,0.00015047243642181906,0,2,OK
85.5,-0.0001218611548411525,-7.464456830169757e-05,-4.518587301256502e-05,-1.3813907600125317e-05,4.669173416656805e-05,-3.1514694624964905e-05,-0.0015352444,0.0007095438,-0.0022861694,-0.0015352444,0.0007095438,-0.0022861694,0.00014987900371991333,0,2,OK
85.60000000000001,-0.000123597140708165,-7.019397159837409e-05,-4.8593126783811504e-05,-1.7155634000125315e-05,4.277489808323472e-05,-2.678773899996491e-05,0.0018429534,-0.0003010153,0.0015226175,0.0018429534,-0.0003010153,0.0015226175,0.00015021564103186746,0,2,OK
85.7,-0.00012452168289917752,-6.589853921755063e-05,-5.0934886000057985e-05,-5.762903000125311e-06,4.589574924990139e-05,-2.3666975124964906e-05,-0.001479791,0.0010879491,0.0005861626,-0.001479791,0.0010879491,0.0005861626,0.00014980864325828895,0,2,OK
85.8,-0.00012500547620319,-6.12100736050605e-05,-5.308074074130447e-05,-1.4551080001253135e-06,4.7068600416568064e-05,-1.894371187496491e-05,0.000550394,0.0034647123,1.9962e-06,0.000550394,0.0034647123,1.9962e-06,0.00014896512084769644,0,2,OK
85.9,-0.00012496408939020255,-5.638137177007035e-05,-5.4749498203800975e-05,1.3836720998746878e-06,4.406862983323474e-05,-1.3871175374964908e-05,-0.0028878019,-0.0019112122,0.000222139,-0.0028878019,-0.0019112122,0.000222139,0.0001476224585669993,0,2,OK
86.0,-0.00012484292764721507,-5.254193684591355e-05,-5.623575709754747e-05,7.310011899874689e-06,3.641178299990141e-05,-1.8192261124964907e-05,0.0003427501,0.0008942266,-0.0013048606,0.0003427501,0.0008942266,-0.0013048606,0.00014665903343259187,0,2,OK
86.10000000000001,-0.00012392935058122762,-4.88809100584234e-05,-5.823867541879396e-05,1.1615130699874688e-05,3.657007041656806e-05,-2.0524958874964905e-05,0.0014932893,-0.0006476389,0.0003120698,0.0014932893,-0.0006476389,0.0003120698,0.00014539453434761617,0,2,OK
86.2,-0.00012288375939424015,-4.55408515967666e-05,-5.986713505379045e-05,1.2240340199874688e-05,3.170178108323472e-05,-1.8166671874964913e-05,0.00168775,-0.0019229225,-0.000816945,0.00168775,-0.0019229225,-0.000816945,0.0001440779696781191,0,2,OK
86.3,-0.00012121102963225268,-4.283835718677647e-05,-6.0931271843786945e-05,1.485769709987469e-05,2.551836424990138e-05,-5.744662499964911e-06,-0.0006750425,-0.0011856255,0.0019048967,-0.0006750425,-0.0011856255,0.0019048967,0.00014226685643351422,0,2,OK
86.4,-0.00011971128309726524,-4.0783814757619674e-05,-6.135443375128344e-05,1.2066967399874693e-05,1.8303043833234718e-05,-2.471173374964911e-06,-0.0018680578,0.0004670804,0.0003962966,-0.0018680578,0.0004670804,0.0003962966,0.00014056485118235656,0,2,OK
86.5,-0.00011879569905927777,-3.9248376571796194e-05,-6.071873526002992e-05,1.0367816599874694e-05,1.0341039999901386e-05,1.5410203750035086e-05,0.0028795158,0.0007632456,-5.33669e-05,0.0028795158,0.0007632456,-5.33669e-05,0.00013906695506151563,0,2,OK
86.60000000000001,-0.00011738818186729029,-3.8215544769306054e-05,-5.939761833377641e-05,1.3704257599874696e-05,8.08933558323472e-06,7.582828625035087e-06,0.0005481268,0.0007294619,-0.0020389174,0.0005481268,0.0007294619,-0.0020389174,0.00013699813928607873,0,2,OK
86.7,-0.00011596742285630281,-3.7353181390149245e-05,-5.79459043950229e-05,2.0154476999874695e-05,8.988928083234719e-06,1.8063342125035082e-05,0.002275952,0.0007659435,-0.003045852,0.002275952,0.0007659435,-0.003045852,0.000134912679760114,0,2,OK
86.8,-0.00011434517310031535,-3.627220783432577e-05,-5.673092266251939e-05,1.0543340099874692e-05,1.1077657666568051e-05,8.822529625035078e-06,-0.0019619943,0.0013424958,-5.07732e-05,-0.0019619943,0.0013424958,-5.07732e-05,0.00013269849003910467,0,2,OK
86.9,-0.00011340860611032788,-3.5002380920168964e-05,-5.643004536501589e-05,9.39010799987469e-06,1.340985774990139e-05,-2.1512469999649227e-06,-0.0006901906,-0.0029691985,-0.0021421583,-0.0006901906,-0.0029691985,-0.0021421583,0.00013141928560856606,0,2,OK
87.0,-0.0001122925141253404,-3.383648183851216e-05,-5.720441785501238e-05,1.223625149987469e-05,1.0047227916568059e-05,-9.16475262496492e-06,0.0014217093,-0.0015782071,-0.001978363,0.0014217093,-0.0015782071,-0.001978363,0.0001304870171853453,0,2,OK
87.10000000000001,-0.00011129978718935293,-3.251190095768868e-05,-5.8254006877508865e-05,7.616249199874687e-06,1.815864674990139e-05,-6.849802124964918e-06,-0.0001161396,0.0014294625,0.0022650062,-0.0001161396,0.0014294625,0.0022650062,0.00012976207323236885,0,2,OK
87.2,-0.0001108264695133655,-3.064810594103186e-05,-5.8262330633755345e-05,2.8644819998746868e-06,1.9001568833234723e-05,3.4551212500350824e-06,-0.003267458,0.0011490944,0.0001029029,-0.003267458,0.0011490944,0.0001029029,0.000128904274224894,0,2,OK
87.3,-0.00011086519849337803,-2.872125337270839e-05,-5.838800414750184e-05,-1.261734000125313e-06,1.821226633323472e-05,-6.807382249964918e-06,0.001800498,-5.01718e-05,-0.0007507257,0.001800498,-5.01718e-05,-0.0007507257,0.00012855023010716128,0,2,OK
87.4,-0.00011085673782939053,-2.6841136713551585e-05,-5.9166172163748334e-05,1.9353939987468732e-07,1.902804183323472e-05,-1.7059222499649194e-06,0.001840987,-0.000339301,0.0011568905,0.001840987,-0.000339301,0.0011568905,0.00012849240783314826,0,2,OK
87.5,-0.00011063457544240304,-2.479829363856145e-05,-5.893398132374483e-05,4.2108630998746884e-06,2.3997604416568055e-05,2.91856137503508e-06,-0.0001515217,0.0006331739,-7.34248e-05,-0.0001515217,0.0006331739,-7.34248e-05,0.00012778176241300083,0,2,OK
